Paese,Prefisso
Afghanistan,+93
Albania,+355
Algeria,+213
Andorra,+376
Angola,+244
Antigua e Barbuda,+1-268
Argentina,+54
Armenia,+374
Australia,+61
Austria,+43
Azerbaigian,+994
Bahamas,+1-242
Bahrein,+973
Bangladesh,+880
Barbados,+1-246
Belgio,+32
Belize,+501
Benin,+229
Bhutan,+975
Bolivia,+591
Bosnia ed Erzegovina,+387
Botswana,+267
Brasile,+55
Brunei,+673
Bulgaria,+359
Burkina Faso,+226
Burundi,+257
Cambogia,+855
Camerun,+237
Canada,+1
Capo Verde,+238
Ciad,+235
Cile,+56
Cina,+86
Cipro,+357
Città del Vaticano,+39
Colombia,+57
Comore,+269
Corea del Nord,+850
Corea del Sud,+82
Costa d'Avorio,+225
Costa Rica,+506
Croazia,+385
Cuba,+53
Danimarca,+45
Dominica,+1-767
Ecuador,+593
Egitto,+20
El Salvador,+503
Emirati Arabi Uniti,+971
Eritrea,+291
Estonia,+372
Eswatini,+268
Etiopia,+251
Figi,+679
Filippine,+63
Finlandia,+358
Francia,+33
Gabon,+241
Gambia,+220
Georgia,+995
Germania,+49
Ghana,+233
Giamaica,+1-876
Giappone,+81
Gibuti,+253
Giordania,+962
Grecia,+30
Grenada,+1-473
Guatemala,+502
Guinea,+224
Guinea-Bissau,+245
Guinea Equatoriale,+240
Guyana,+592
Haiti,+509
Honduras,+504
Hong Kong,+852
India,+91
Indonesia,+62
Iran,+98
Iraq,+964
Irlanda,+353
Islanda,+354
Isole Marshall,+692
Isole Salomone,+677
Israele,+972
Italia,+39
Kazakistan,+7
Kenya,+254
Kirghizistan,+996
Kiribati,+686
Kuwait,+965
Laos,+856
Lesotho,+266
Lettonia,+371
Libano,+961
Liberia,+231
Libia,+218
Liechtenstein,+423
Lituania,+370
Lussemburgo,+352
Macao,+853
Madagascar,+261
Malawi,+265
Malaysia,+60
Maldive,+960
Mali,+223
Malta,+356
Marocco,+212
Mauritania,+222
Mauritius,+230
Messico,+52
Micronesia,+691
Moldavia,+373
Monaco,+377
Mongolia,+976
Montenegro,+382
Mozambico,+258
Namibia,+264
Nauru,+674
Nepal,+977
Nicaragua,+505
Niger,+227
Nigeria,+234
Norvegia,+47
Nuova Zelanda,+64
Oman,+968
Paesi Bassi,+31
Pakistan,+92
Palau,+680
Palestina,+970
Panama,+507
Papua Nuova Guinea,+675
Paraguay,+595
Perù,+51
Polonia,+48
Portogallo,+351
Qatar,+974
Regno Unito,+44
Repubblica Centrafricana,+236
Repubblica Ceca,+420
Repubblica Democratica del Congo,+243
Repubblica Dominicana,+1-809
Romania,+40
Ruanda,+250
Russia,+7
Saint Kitts e Nevis,+1-869
Saint Lucia,+1-758
Saint Vincent e Grenadine,+1-784
Samoa,+685
San Marino,+378
São Tomé e Príncipe,+239
Senegal,+221
Serbia,+381
Seychelles,+248
Sierra Leone,+232
Singapore,+65
Siria,+963
Slovacchia,+421
Slovenia,+386
Somalia,+252
Spagna,+34
Sri Lanka,+94
Stati Uniti,+1
Sudafrica,+27
Sudan,+249
Sudan del Sud,+211
Suriname,+597
Svezia,+46
Svizzera,+41
Tagikistan,+992
Taiwan,+886
Tanzania,+255
Thailandia,+66
Timor Est,+670
Togo,+228
Tonga,+676
Trinidad e Tobago,+1-868
Tunisia,+216
Turchia,+90
Turkmenistan,+993
Tuvalu,+688
Ucraina,+380
Uganda,+256
Ungheria,+36
Uruguay,+598
Uzbekistan,+998
Vanuatu,+678
Venezuela,+58
Vietnam,+84
Yemen,+967
Zambia,+260
Zimbabwe,+263
